Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Performance Gls,Performance Ast,Performance PK,Performance PKatt,Performance Sh,Performance SoT,Performance CrdY,Performance CrdR,Performance Touches,Performance Tkl,Performance Int,Performance Blocks,Expected xG,Expected npxG,Expected xAG,SCA SCA,SCA GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Report,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries TotDist,Carries PrgDist,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks
2023-08-13,Sun,Premier League,Matchweek 1,Away,D 1–1,Liverpool,Chelsea,Y,LM,65,0,0,0,0,0,0,0,0,28,3,0,4,0.0,0.0,0.1,2,0,10,15,66.7,2,14,3,2,1,Match Report,28,2,7,14,7,1,28,50.0,1,50.0,61,29,2,1,2,1,17,3,3,1,1,2,0,1,1,100.0,0,4,0,4,0,3,2,0,10,15,66.7,106,49,7,8,87.5,2,3,66.7,0,1,0.0,0,0.1,0.1,1,2,0,0,2,15,14,0,0,0,0,1,0,0,0,0,0,10,1,1
2023-08-19,Sat,Premier League,Matchweek 2,Home,W 3–1,Liverpool,Bournemouth,Y,LM,62,0,0,0,0,3,0,0,0,33,1,0,2,0.2,0.2,0.1,3,0,20,25,80.0,5,21,1,2,2,Match Report,33,0,3,20,11,2,33,100.0,0,0.0,100,35,0,0,2,0,22,0,1,1,0,1,0,0,2,0.0,2,2,0,2,0,1,1,0,20,25,80.0,316,83,10,11,90.9,9,11,81.8,1,2,50.0,0,0.1,0.0,1,3,2,0,5,25,25,0,0,0,0,0,0,0,0,0,0,20,0,1
2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Liverpool,Newcastle Utd,Y,"FW,LM",57,0,0,0,0,0,0,0,0,19,0,1,2,0.0,0.0,0.0,1,0,5,8,62.5,2,14,2,4,1,Match Report,19,1,4,10,6,2,19,25.0,3,75.0,123,61,1,1,2,0,12,3,0,0,0,0,0,0,0,0.0,0,2,0,2,1,1,1,0,5,8,62.5,82,21,1,1,100.0,3,4,75.0,0,0,0.0,0,0.0,0.0,1,2,0,0,2,8,7,1,0,0,0,1,1,0,0,0,0,5,0,1
2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–0,Liverpool,Aston Villa,N,FW,26,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,1,4,0,0,0,Match Report,6,0,0,2,4,2,6,0.0,0,0.0,8,2,0,0,2,0,5,3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,2,3,66.7,26,17,1,1,100.0,1,2,50.0,0,0,0.0,0,0.0,0.0,0,0,1,0,1,3,3,0,0,0,0,1,0,0,0,0,0,2,0,0
2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,Y,FW,55,1,0,0,0,3,1,0,0,22,1,0,0,1.1,1.1,0.0,1,0,10,13,76.9,3,16,0,2,1,Match Report,22,0,4,7,11,5,22,50.0,1,50.0,49,14,0,0,1,1,17,6,1,0,0,1,0,1,2,50.0,1,0,0,0,0,1,0,0,10,13,76.9,120,35,6,7,85.7,4,6,66.7,0,0,0.0,0,0.0,0.0,0,1,0,0,3,13,12,1,0,0,0,0,0,0,0,0,0,10,0,0
2023-09-24,Sun,Premier League,Matchweek 6,Home,W 3–1,Liverpool,West Ham,N,FW,10,0,0,0,0,2,1,0,0,14,0,0,1,0.1,0.1,0.0,0,0,4,8,50.0,2,11,1,1,0,Match Report,14,0,0,7,8,4,14,0.0,1,100.0,51,24,1,0,0,0,15,6,0,0,0,0,0,0,0,0.0,0,1,0,1,0,0,0,0,4,8,50.0,49,17,3,5,60.0,1,3,33.3,0,0,0.0,0,0.0,0.0,0,0,0,0,2,8,8,0,0,0,0,0,0,0,0,0,0,4,0,0
2023-09-30,Sat,Premier League,Matchweek 7,Away,L 1–2,Liverpool,Tottenham,Y,"FW,RM",45,1,0,0,0,3,2,0,0,16,0,1,0,0.4,0.4,0.0,2,0,9,11,81.8,1,15,0,0,0,Match Report,16,0,4,4,9,3,16,0.0,0,0.0,59,10,0,0,1,0,14,2,0,0,0,0,0,0,0,0.0,0,0,0,0,1,1,0,0,9,11,81.8,120,28,6,6,100.0,3,3,100.0,0,0,0.0,0,0.0,0.0,1,0,1,0,1,11,11,0,0,0,0,0,0,0,0,0,0,9,0,2
2023-10-26,Thu,Europa Lg,Group stage,Home,W 5–1,Liverpool,fr Toulouse,N,FW,25,0,1,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.3,0,0,9,11,81.8,2,13,2,0,0,Match Report,15,0,0,8,7,2,15,0.0,0,0.0,73,18,1,1,2,1,14,5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,9,11,81.8,149,29,4,5,80.0,5,6,83.3,0,0,0.0,1,0.3,0.0,1,1,0,0,2,11,11,0,0,1,0,1,0,0,0,0,0,9,0,0
2023-10-29,Sun,Premier League,Matchweek 10,Home,W 3–0,Liverpool,Nott'ham Forest,N,LW,33,0,0,0,0,1,0,0,0,23,0,0,1,0.0,0.0,0.0,3,0,12,17,70.6,2,14,0,1,1,Match Report,23,2,5,13,5,0,23,100.0,0,0.0,71,19,0,0,1,0,19,3,0,0,0,0,0,0,1,0.0,1,1,1,0,0,0,0,0,12,17,70.6,120,61,11,14,78.6,1,3,33.3,0,0,0.0,0,0.0,0.0,0,4,0,0,2,17,17,0,0,0,0,0,0,0,0,0,0,12,0,0
2023-11-05,Sun,Premier League,Matchweek 11,Away,D 1–1,Liverpool,Luton Town,N,"RM,LW",25,0,0,0,0,2,0,0,0,9,0,0,0,0.6,0.6,0.0,0,0,4,5,80.0,1,8,0,0,0,Match Report,9,0,1,2,6,2,9,0.0,0,0.0,48,23,0,0,2,0,8,2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,4,5,80.0,81,31,0,0,0.0,4,4,100.0,0,0,0.0,0,0.0,0.0,0,0,1,0,1,5,5,0,0,0,0,0,0,0,0,0,0,4,0,1
