Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Report
2023-08-13,Sun,Premier League,Matchweek 1,Away,D 1–1,Liverpool,Chelsea,Y,LM,65,28,2,7,14,7,1,28,2,1,50.0,1,50.0,14,61,29,3,2,1,2,1,17,3,Match Report
2023-08-19,Sat,Premier League,Matchweek 2,Home,W 3–1,Liverpool,Bournemouth,Y,LM,62,33,0,3,20,11,2,33,2,2,100.0,0,0.0,21,100,35,1,0,0,2,0,22,0,Match Report
2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Liverpool,Newcastle Utd,Y,"FW,LM",57,19,1,4,10,6,2,19,4,1,25.0,3,75.0,14,123,61,2,1,1,2,0,12,3,Match Report
2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–0,Liverpool,Aston Villa,N,FW,26,6,0,0,2,4,2,6,0,0,0,0,0,4,8,2,0,0,0,2,0,5,3,Match Report
2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,Y,FW,55,22,0,4,7,11,5,22,2,1,50.0,1,50.0,16,49,14,0,0,0,1,1,17,6,Match Report
2023-09-24,Sun,Premier League,Matchweek 6,Home,W 3–1,Liverpool,West Ham,N,FW,10,14,0,0,7,8,4,14,1,0,0.0,1,100.0,11,51,24,1,1,0,0,0,15,6,Match Report
2023-09-27,Wed,EFL Cup,Third round,Home,W 3–1,Liverpool,Leicester City,Y,FW,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
2023-09-30,Sat,Premier League,Matchweek 7,Away,L 1–2,Liverpool,Tottenham,Y,"FW,RM",45,16,0,4,4,9,3,16,0,0,0,0,0,15,59,10,0,0,0,1,0,14,2,Match Report
2023-10-26,Thu,Europa Lg,Group stage,Home,W 5–1,Liverpool,fr Toulouse,N,FW,25,15,0,0,8,7,2,15,0,0,0,0,0,13,73,18,2,1,1,2,1,14,5,Match Report
2023-10-29,Sun,Premier League,Matchweek 10,Home,W 3–0,Liverpool,Nott'ham Forest,N,LW,33,23,2,5,13,5,0,23,1,1,100.0,0,0.0,14,71,19,0,0,0,1,0,19,3,Match Report
2023-11-01,Wed,EFL Cup,Fourth round,Away,W 2–1,Liverpool,Bournemouth,Y,FW,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
2023-11-05,Sun,Premier League,Matchweek 11,Away,D 1–1,Liverpool,Luton Town,N,"RM,LW",25,9,0,1,2,6,2,9,0,0,0,0,0,8,48,23,0,0,0,2,0,8,2,Match Report
2023-11-09,Thu,Europa Lg,Group stage,Away,L 2–3,Liverpool,fr Toulouse,Y,FW,72,24,1,1,7,16,1,24,2,0,0.0,2,100.0,16,85,15,1,1,0,1,4,16,3,Match Report
2023-11-12,Sun,Premier League,Matchweek 12,Home,W 3–0,Liverpool,Brentford,Y,LM,82,43,3,6,18,21,3,43,4,2,50.0,1,25.0,32,154,75,2,1,0,3,0,31,2,Match Report
2023-11-25,Sat,Premier League,Matchweek 13,Away,D 1–1,Liverpool,Manchester City,N,"FW,RM",18,7,0,3,3,1,0,7,0,0,0,0,0,2,10,0,0,0,0,1,1,4,1,Match Report
