Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Performance Gls,Performance Ast,Performance PK,Performance PKatt,Performance Sh,Performance SoT,Performance CrdY,Performance CrdR,Performance Touches,Performance Tkl,Performance Int,Performance Blocks,Expected xG,Expected npxG,Expected xAG,SCA SCA,SCA GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Report,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries TotDist,Carries PrgDist,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks
2023-08-13,Sun,Premier League,Matchweek 1,Away,D 1–1,Liverpool,Chelsea,N,FW,25,0,0,0,0,2,0,0,0,13,0,0,0,0.0,0.0,0.0,1,0,5,6,83.3,1,9,1,3,2,Match Report,13,0,0,1,12,2,13,66.7,1,33.3,40,20,0,0,1,1,9,4,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,5,6,83.3,53,14,3,3,100.0,1,1,100.0,0,0,0.0,0,0.0,0.0,0,0,1,0,1,6,6,0,0,0,0,0,0,0,0,0,0,5,0,1
2023-08-19,Sat,Premier League,Matchweek 2,Home,W 3–1,Liverpool,Bournemouth,N,FW,5,0,0,0,0,0,0,0,0,5,1,0,1,0.0,0.0,0.0,0,0,1,2,50.0,0,4,0,0,0,Match Report,5,0,0,4,1,0,5,0.0,0,0.0,8,5,0,0,2,0,3,0,1,1,0,1,0,1,2,50.0,1,1,0,1,0,1,0,0,1,2,50.0,12,6,1,1,100.0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,0,1
2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Liverpool,Newcastle Utd,N,FW,14,2,0,0,0,2,2,1,0,8,0,0,0,0.4,0.4,0.0,0,0,4,6,66.7,1,4,0,0,0,Match Report,8,0,0,2,6,3,8,0.0,0,0.0,9,4,0,0,0,1,5,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,4,6,66.7,55,8,2,3,66.7,2,2,100.0,0,1,0.0,0,0.0,0.1,0,1,0,0,1,6,5,1,0,0,0,0,1,0,0,0,0,4,0,0
2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–0,Liverpool,Aston Villa,Y,FW,64,0,1,0,0,5,0,0,0,24,1,0,0,1.1,1.1,0.5,2,1,7,11,63.6,3,16,2,0,0,Match Report,24,1,2,6,16,6,24,0.0,0,0.0,70,41,0,1,4,0,18,4,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,1,0,7,11,63.6,84,35,5,7,71.4,2,4,50.0,0,0,0.0,1,0.5,0.0,1,1,1,0,3,11,11,0,0,0,0,0,0,0,0,0,0,7,0,0
2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,N,FW,35,0,0,0,0,2,1,0,0,19,1,0,0,0.2,0.2,0.0,3,0,10,16,62.5,2,14,3,1,0,Match Report,19,0,0,3,16,4,19,0.0,1,100.0,121,95,2,2,0,1,14,3,1,1,0,0,1,0,0,0.0,0,0,0,0,0,1,0,0,10,16,62.5,121,40,7,11,63.6,2,2,100.0,0,1,0.0,0,0.0,0.2,0,1,2,0,2,16,15,1,1,0,0,0,0,0,0,0,0,10,0,1
2023-09-21,Thu,Europa Lg,Group stage,Away,W 3–1,Liverpool,at LASK,Y,FW,90,1,1,1,1,4,1,0,0,36,1,0,0,1.2,0.4,0.2,4,2,16,21,76.2,2,22,2,8,2,Match Report,36,0,0,10,27,12,35,25.0,5,62.5,128,51,1,1,1,1,22,7,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0,16,21,76.2,180,25,14,15,93.3,2,5,40.0,0,0,0.0,1,0.2,0.0,2,0,2,0,2,21,20,1,0,0,0,0,0,0,0,0,0,16,0,0
2023-09-24,Sun,Premier League,Matchweek 6,Home,W 3–1,Liverpool,West Ham,Y,FW,80,1,0,0,0,3,2,0,0,28,0,0,3,0.9,0.9,0.0,0,0,14,19,73.7,1,16,1,2,1,Match Report,28,1,3,11,15,7,28,50.0,1,50.0,61,23,0,1,1,2,22,5,0,0,0,0,0,0,1,0.0,1,3,1,2,0,0,0,0,14,19,73.7,175,36,8,10,80.0,5,6,83.3,0,0,0.0,0,0.0,0.0,0,1,0,0,1,19,18,1,0,1,0,1,0,0,0,0,0,14,0,1
2023-10-05,Thu,Europa Lg,Group stage,Home,W 2–0,Liverpool,be Union SG,Y,FW,45,0,0,0,0,3,1,0,0,14,0,0,0,0.6,0.6,0.0,2,0,9,10,90.0,0,11,2,0,0,Match Report,14,0,0,3,11,4,14,0.0,0,0.0,63,20,0,1,1,0,13,7,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,9,10,90.0,122,0,7,8,87.5,2,2,100.0,0,0,0.0,0,0.0,0.0,1,0,0,0,0,10,9,1,1,0,0,1,0,0,0,0,0,9,0,0
2023-10-08,Sun,Premier League,Matchweek 8,Away,D 2–2,Liverpool,Brighton,Y,FW,90,0,1,0,0,3,1,0,0,29,0,0,2,0.1,0.1,0.5,6,2,17,19,89.5,4,16,2,2,0,Match Report,29,0,0,13,16,5,29,0.0,1,50.0,117,41,1,0,2,2,23,7,0,0,0,0,0,0,0,0.0,0,2,0,2,0,0,0,0,17,19,89.5,236,48,12,12,100.0,3,4,75.0,1,2,50.0,1,0.5,0.4,2,2,3,0,4,19,18,1,0,0,0,0,0,0,0,0,0,17,0,0
2023-10-21,Sat,Premier League,Matchweek 9,Home,W 2–0,Liverpool,Everton,N,FW,29,0,1,0,0,1,1,0,0,17,1,0,0,0.0,0.0,0.4,1,1,8,13,61.5,2,12,3,1,0,Match Report,17,0,1,5,11,5,17,0.0,1,100.0,140,108,2,2,1,0,14,5,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,8,13,61.5,125,27,4,5,80.0,3,5,60.0,1,2,50.0,1,0.4,0.1,1,1,1,0,2,13,13,0,0,0,0,0,0,0,0,0,0,8,0,1
