Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Report
2023-08-13,Sun,Premier League,Matchweek 1,Away,D 1–1,Liverpool,Chelsea,N,FW,25,5,6,83.3,53,14,3,3,100.0,1,1,100.0,0,0,0,0,0.0,0.0,0,0,1,0,1,Match Report
2023-08-19,Sat,Premier League,Matchweek 2,Home,W 3–1,Liverpool,Bournemouth,N,FW,5,1,2,50.0,12,6,1,1,100.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,Match Report
2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Liverpool,Newcastle Utd,N,FW,14,4,6,66.7,55,8,2,3,66.7,2,2,100.0,0,1,0.0,0,0.0,0.1,0,1,0,0,1,Match Report
2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–0,Liverpool,Aston Villa,Y,FW,64,7,11,63.6,84,35,5,7,71.4,2,4,50.0,0,0,0,1,0.5,0.0,1,1,1,0,3,Match Report
2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,N,FW,35,10,16,62.5,121,40,7,11,63.6,2,2,100.0,0,1,0.0,0,0.0,0.2,0,1,2,0,2,Match Report
2023-09-21,Thu,Europa Lg,Group stage,Away,W 3–1,Liverpool,at LASK,Y,FW,90,16,21,76.2,180,25,14,15,93.3,2,5,40.0,0,0,0,1,0.2,0.0,2,0,2,0,2,Match Report
2023-09-24,Sun,Premier League,Matchweek 6,Home,W 3–1,Liverpool,West Ham,Y,FW,80,14,19,73.7,175,36,8,10,80.0,5,6,83.3,0,0,0,0,0.0,0.0,0,1,0,0,1,Match Report
2023-10-05,Thu,Europa Lg,Group stage,Home,W 2–0,Liverpool,be Union SG,Y,FW,45,9,10,90.0,122,0,7,8,87.5,2,2,100.0,0,0,0,0,0.0,0.0,1,0,0,0,0,Match Report
2023-10-08,Sun,Premier League,Matchweek 8,Away,D 2–2,Liverpool,Brighton,Y,FW,90,17,19,89.5,236,48,12,12,100.0,3,4,75.0,1,2,50.0,1,0.5,0.4,2,2,3,0,4,Match Report
2023-10-21,Sat,Premier League,Matchweek 9,Home,W 2–0,Liverpool,Everton,N,FW,29,8,13,61.5,125,27,4,5,80.0,3,5,60.0,1,2,50.0,1,0.4,0.1,1,1,1,0,2,Match Report
2023-10-26,Thu,Europa Lg,Group stage,Home,W 5–1,Liverpool,fr Toulouse,Y,FW,65,21,24,87.5,271,43,14,14,100.0,7,9,77.8,0,0,0,0,0.0,0.0,0,1,0,0,1,Match Report
2023-10-29,Sun,Premier League,Matchweek 10,Home,W 3–0,Liverpool,Nott'ham Forest,Y,FW,79,16,18,88.9,259,61,6,7,85.7,7,8,87.5,1,1,100.0,0,0.0,0.0,1,3,1,0,3,Match Report
2023-11-05,Sun,Premier League,Matchweek 11,Away,D 1–1,Liverpool,Luton Town,Y,FW,90,14,23,60.9,217,45,7,11,63.6,5,8,62.5,2,4,50.0,0,0.0,0.0,1,2,0,0,2,Match Report
2023-11-09,Thu,Europa Lg,Group stage,Away,L 2–3,Liverpool,fr Toulouse,N,FW,18,2,2,100.0,33,0,1,1,100.0,1,1,100.0,0,0,0,0,0.2,0.0,1,0,0,0,0,Match Report
2023-11-12,Sun,Premier League,Matchweek 12,Home,W 3–0,Liverpool,Brentford,Y,FW,90,23,28,82.1,317,72,12,13,92.3,10,12,83.3,0,0,0,1,0.4,0.1,2,0,4,0,6,Match Report
2023-11-25,Sat,Premier League,Matchweek 13,Away,D 1–1,Liverpool,Manchester City,Y,FW,84,10,15,66.7,127,23,8,11,72.7,2,3,66.7,0,0,0,0,0.0,0.0,0,0,2,0,3,Match Report
