Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Performance Gls,Performance Ast,Performance PK,Performance PKatt,Performance Sh,Performance SoT,Performance CrdY,Performance CrdR,Performance Touches,Performance Tkl,Performance Int,Performance Blocks,Expected xG,Expected npxG,Expected xAG,SCA SCA,SCA GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Report,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries TotDist,Carries PrgDist,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
2023-08-13,Sun,Premier League,Matchweek 1,Away,D 1–1,Liverpool,Chelsea,Y,FW,65,0,0,0,0,2,0,1,0,28,1,0,1,0.1,0.1,0.0,3,0,14,18,77.8,2,10,1,2,1,Match Report,28,2,6,12,11,3,28,50.0,1,50.0,46,29,1,0,1,0,13,2,1,1,0,1,0,0,2,0.0,2,1,0,1,0,1,2,0,14,18,77.8,203,31,8,10,80.0,5,6,83.3,1,1,100.0,0,0.0,0.0,1,0,0,0,2
2023-08-19,Sat,Premier League,Matchweek 2,Home,W 3–1,Liverpool,Bournemouth,Y,"FW,RM",75,1,0,0,0,5,2,0,0,56,1,1,0,0.7,0.7,0.2,4,1,26,37,70.3,0,33,3,4,2,Match Report,56,0,5,25,26,13,56,50.0,2,50.0,137,95,1,1,6,1,41,11,1,0,0,1,0,1,2,50.0,1,0,0,0,1,2,0,0,26,37,70.3,338,134,16,22,72.7,6,8,75.0,1,1,100.0,0,0.2,0.1,2,1,0,0,0
2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Liverpool,Newcastle Utd,N,LM,33,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.1,1,0,9,14,64.3,2,11,4,0,0,Match Report,19,1,2,7,10,4,19,0.0,0,0.0,92,73,2,2,1,0,15,6,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,9,14,64.3,130,49,5,7,71.4,4,5,80.0,0,1,0.0,0,0.1,0.1,1,0,2,0,2
2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–0,Liverpool,Aston Villa,N,LW,26,0,0,0,0,0,0,0,0,19,2,0,0,0.0,0.0,0.0,0,0,9,13,69.2,0,8,4,1,0,Match Report,19,0,1,7,11,0,19,0.0,1,100.0,91,77,4,0,1,1,13,4,2,2,0,1,1,1,1,100.0,0,0,0,0,0,2,0,0,9,13,69.2,117,0,6,8,75.0,3,4,75.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0
2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,Y,"LW,RM",55,0,0,0,0,1,0,0,0,26,1,0,1,0.1,0.1,0.0,2,1,15,19,78.9,0,17,2,3,3,Match Report,26,1,2,11,13,4,26,100.0,0,0.0,90,48,0,1,1,1,21,11,1,1,0,1,0,1,3,33.3,2,1,0,1,0,1,0,0,15,19,78.9,181,40,12,13,92.3,2,5,40.0,1,1,100.0,0,0.0,0.1,0,0,0,0,0
2023-09-24,Sun,Premier League,Matchweek 6,Home,W 3–1,Liverpool,West Ham,N,LW,10,1,0,0,0,2,1,0,0,9,0,0,0,0.5,0.5,0.0,1,0,4,6,66.7,0,6,2,0,0,Match Report,9,0,2,3,4,3,9,0.0,0,0.0,36,28,0,2,0,1,6,2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,4,6,66.7,72,4,2,2,100.0,0,0,0.0,1,1,100.0,0,0.0,0.0,0,0,0,0,0
2023-09-30,Sat,Premier League,Matchweek 7,Away,L 1–2,Liverpool,Tottenham,N,RM,23,0,0,0,0,0,0,2,1,11,1,0,1,0.0,0.0,0.0,0,0,3,4,75.0,0,5,0,2,0,Match Report,11,1,6,3,2,0,11,0.0,2,100.0,8,0,0,0,1,1,6,0,1,1,0,1,0,1,1,100.0,0,1,1,0,0,1,0,0,3,4,75.0,34,0,2,2,100.0,1,1,100.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0
2023-10-05,Thu,Europa Lg,Group stage,Home,W 2–0,Liverpool,be Union SG,Y,"FW,LW",90,1,0,0,0,4,2,0,0,28,1,0,0,0.6,0.6,0.0,0,0,12,16,75.0,1,17,2,3,1,Match Report,28,0,0,9,19,8,28,33.3,2,66.7,82,20,1,2,3,0,26,14,1,1,0,1,0,0,0,0.0,0,0,0,0,0,1,0,0,12,16,75.0,195,33,7,8,87.5,4,7,57.1,1,1,100.0,0,0.0,0.0,0,1,0,0,1
2023-10-21,Sat,Premier League,Matchweek 9,Home,W 2–0,Liverpool,Everton,Y,"FW,LW",90,0,0,0,0,4,1,0,0,44,0,0,0,0.1,0.1,0.1,6,0,26,33,78.8,1,25,7,3,1,Match Report,44,1,1,14,29,13,44,33.3,1,33.3,181,127,2,4,2,1,40,8,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,26,33,78.8,348,73,18,21,85.7,8,8,100.0,0,0,0.0,0,0.1,0.1,3,1,1,0,1
2023-10-26,Thu,Europa Lg,Group stage,Home,W 5–1,Liverpool,fr Toulouse,Y,LW,90,1,0,0,0,1,1,0,0,36,2,0,1,0.6,0.6,1.0,3,2,17,23,73.9,3,23,3,4,1,Match Report,36,0,0,16,21,5,36,25.0,3,75.0,153,90,3,1,4,1,20,5,2,1,0,1,1,0,1,0.0,1,1,0,1,0,2,0,0,17,23,73.9,285,114,6,8,75.0,9,12,75.0,1,1,100.0,0,1.0,0.1,2,2,2,0,3
