Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Report
2023-08-13,Sun,Premier League,Matchweek 1,Away,D 1–1,Liverpool,Chelsea,Y,FW,65,14,18,77.8,203,31,8,10,80.0,5,6,83.3,1,1,100.0,0,0.0,0.0,1,0,0,0,2,Match Report
2023-08-19,Sat,Premier League,Matchweek 2,Home,W 3–1,Liverpool,Bournemouth,Y,"FW,RM",75,26,37,70.3,338,134,16,22,72.7,6,8,75.0,1,1,100.0,0,0.2,0.1,2,1,0,0,0,Match Report
2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Liverpool,Newcastle Utd,N,LM,33,9,14,64.3,130,49,5,7,71.4,4,5,80.0,0,1,0.0,0,0.1,0.1,1,0,2,0,2,Match Report
2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–0,Liverpool,Aston Villa,N,LW,26,9,13,69.2,117,0,6,8,75.0,3,4,75.0,0,0,0,0,0.0,0.0,0,0,0,0,0,Match Report
2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,Y,"LW,RM",55,15,19,78.9,181,40,12,13,92.3,2,5,40.0,1,1,100.0,0,0.0,0.1,0,0,0,0,0,Match Report
2023-09-24,Sun,Premier League,Matchweek 6,Home,W 3–1,Liverpool,West Ham,N,LW,10,4,6,66.7,72,4,2,2,100.0,0,0,0,1,1,100.0,0,0.0,0.0,0,0,0,0,0,Match Report
2023-09-30,Sat,Premier League,Matchweek 7,Away,L 1–2,Liverpool,Tottenham,N,RM,23,3,4,75.0,34,0,2,2,100.0,1,1,100.0,0,0,0,0,0.0,0.0,0,0,0,0,0,Match Report
2023-10-05,Thu,Europa Lg,Group stage,Home,W 2–0,Liverpool,be Union SG,Y,"FW,LW",90,12,16,75.0,195,33,7,8,87.5,4,7,57.1,1,1,100.0,0,0.0,0.0,0,1,0,0,1,Match Report
2023-10-21,Sat,Premier League,Matchweek 9,Home,W 2–0,Liverpool,Everton,Y,"FW,LW",90,26,33,78.8,348,73,18,21,85.7,8,8,100.0,0,0,0,0,0.1,0.1,3,1,1,0,1,Match Report
2023-10-26,Thu,Europa Lg,Group stage,Home,W 5–1,Liverpool,fr Toulouse,Y,LW,90,17,23,73.9,285,114,6,8,75.0,9,12,75.0,1,1,100.0,0,1.0,0.1,2,2,2,0,3,Match Report
2023-10-29,Sun,Premier League,Matchweek 10,Home,W 3–0,Liverpool,Nott'ham Forest,Y,LW,57,17,21,81.0,290,18,8,10,80.0,7,7,100.0,2,2,100.0,0,0.1,0.0,1,0,0,0,0,Match Report
2023-11-05,Sun,Premier League,Matchweek 11,Away,D 1–1,Liverpool,Luton Town,Y,LW,65,20,25,80.0,243,63,14,16,87.5,5,6,83.3,0,1,0.0,0,0.0,0.1,1,4,1,0,4,Match Report
2023-11-09,Thu,Europa Lg,Group stage,Away,L 2–3,Liverpool,fr Toulouse,N,LW,10,6,6,100.0,69,12,5,5,100.0,1,1,100.0,0,0,0,0,0.0,0.0,0,1,0,0,1,Match Report
2023-11-12,Sun,Premier League,Matchweek 12,Home,W 3–0,Liverpool,Brentford,Y,LW,82,20,25,80.0,316,83,10,13,76.9,10,12,83.3,0,0,0,0,0.1,0.0,2,1,1,0,4,Match Report
2023-11-25,Sat,Premier League,Matchweek 13,Away,D 1–1,Liverpool,Manchester City,Y,LW,53,6,7,85.7,102,59,4,4,100.0,1,1,100.0,1,1,100.0,0,0.0,0.0,1,1,0,0,1,Match Report
