Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Performance Gls,Performance Ast,Performance PK,Performance PKatt,Performance Sh,Performance SoT,Performance CrdY,Performance CrdR,Performance Touches,Performance Tkl,Performance Int,Performance Blocks,Expected xG,Expected npxG,Expected xAG,SCA SCA,SCA GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Report
2023-08-13,Sun,Premier League,Matchweek 1,Away,D 1–1,Liverpool,Chelsea,Y,FW,65,0,0,0,0,2,0,1,0,28,1,0,1,0.1,0.1,0.0,3,0,14,18,77.8,2,10,1,2,1,Match Report
2023-08-19,Sat,Premier League,Matchweek 2,Home,W 3–1,Liverpool,Bournemouth,Y,"FW,RM",75,1,0,0,0,5,2,0,0,56,1,1,0,0.7,0.7,0.2,4,1,26,37,70.3,0,33,3,4,2,Match Report
2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Liverpool,Newcastle Utd,N,LM,33,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.1,1,0,9,14,64.3,2,11,4,0,0,Match Report
2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–0,Liverpool,Aston Villa,N,LW,26,0,0,0,0,0,0,0,0,19,2,0,0,0.0,0.0,0.0,0,0,9,13,69.2,0,8,4,1,0,Match Report
2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,Y,"LW,RM",55,0,0,0,0,1,0,0,0,26,1,0,1,0.1,0.1,0.0,2,1,15,19,78.9,0,17,2,3,3,Match Report
2023-09-24,Sun,Premier League,Matchweek 6,Home,W 3–1,Liverpool,West Ham,N,LW,10,1,0,0,0,2,1,0,0,9,0,0,0,0.5,0.5,0.0,1,0,4,6,66.7,0,6,2,0,0,Match Report
2023-09-30,Sat,Premier League,Matchweek 7,Away,L 1–2,Liverpool,Tottenham,N,RM,23,0,0,0,0,0,0,2,1,11,1,0,1,0.0,0.0,0.0,0,0,3,4,75.0,0,5,0,2,0,Match Report
2023-10-05,Thu,Europa Lg,Group stage,Home,W 2–0,Liverpool,be Union SG,Y,"FW,LW",90,1,0,0,0,4,2,0,0,28,1,0,0,0.6,0.6,0.0,0,0,12,16,75.0,1,17,2,3,1,Match Report
2023-10-21,Sat,Premier League,Matchweek 9,Home,W 2–0,Liverpool,Everton,Y,"FW,LW",90,0,0,0,0,4,1,0,0,44,0,0,0,0.1,0.1,0.1,6,0,26,33,78.8,1,25,7,3,1,Match Report
2023-10-26,Thu,Europa Lg,Group stage,Home,W 5–1,Liverpool,fr Toulouse,Y,LW,90,1,0,0,0,1,1,0,0,36,2,0,1,0.6,0.6,1.0,3,2,17,23,73.9,3,23,3,4,1,Match Report
2023-10-29,Sun,Premier League,Matchweek 10,Home,W 3–0,Liverpool,Nott'ham Forest,Y,LW,57,1,0,0,0,3,2,0,0,32,0,0,0,1.0,1.0,0.1,2,0,17,21,81.0,0,15,2,2,1,Match Report
2023-11-05,Sun,Premier League,Matchweek 11,Away,D 1–1,Liverpool,Luton Town,Y,LW,65,0,0,0,0,2,1,0,0,33,2,1,0,0.3,0.3,0.0,2,0,20,25,80.0,4,26,3,3,2,Match Report
2023-11-09,Thu,Europa Lg,Group stage,Away,L 2–3,Liverpool,fr Toulouse,N,LW,10,1,0,0,0,2,1,0,0,9,0,0,0,0.3,0.3,0.0,0,0,6,6,100.0,1,10,2,0,0,Match Report
2023-11-12,Sun,Premier League,Matchweek 12,Home,W 3–0,Liverpool,Brentford,Y,LW,82,1,0,0,0,3,1,0,0,35,0,1,0,0.2,0.2,0.1,4,2,20,25,80.0,4,24,2,1,1,Match Report
2023-11-25,Sat,Premier League,Matchweek 13,Away,D 1–1,Liverpool,Manchester City,Y,LW,53,0,0,0,0,0,0,0,0,11,2,0,0,0.0,0.0,0.0,1,0,6,7,85.7,1,7,0,1,0,Match Report
