Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,Report
2023-08-13,Sun,Premier League,Matchweek 1,Away,D 1–1,Liverpool,Chelsea,Y,"RM,LW",90,42,39,3,0,0,0,3,0,2,2,0,0,33,0,0,Match Report
2023-08-19,Sat,Premier League,Matchweek 2,Home,W 3–1,Liverpool,Bournemouth,Y,"RM,CM",90,72,67,5,1,0,2,0,1,1,0,0,0,67,0,1,Match Report
2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Liverpool,Newcastle Utd,Y,"RM,CM",90,42,34,8,3,0,0,4,0,3,3,0,0,32,0,2,Match Report
2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–0,Liverpool,Aston Villa,Y,"RM,LM",90,60,54,6,2,0,0,4,0,3,0,3,0,54,0,2,Match Report
2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,Y,"CM,RM",90,102,96,6,4,0,2,3,0,2,1,1,0,82,0,2,Match Report
2023-09-21,Thu,Europa Lg,Group stage,Away,W 3–1,Liverpool,at LASK,N,"RM,RW",30,28,26,2,1,2,0,1,0,1,0,1,0,26,0,2,Match Report
2023-09-24,Sun,Premier League,Matchweek 6,Home,W 3–1,Liverpool,West Ham,Y,RM,90,92,85,6,1,0,1,3,1,3,0,3,0,84,1,1,Match Report
2023-09-30,Sat,Premier League,Matchweek 7,Away,L 1–2,Liverpool,Tottenham,Y,"CM,RM",90,49,43,6,3,0,2,5,1,1,1,0,0,38,0,2,Match Report
2023-10-05,Thu,Europa Lg,Group stage,Home,W 2–0,Liverpool,be Union SG,N,LM,12,9,8,1,1,0,0,2,0,0,0,0,0,7,0,0,Match Report
2023-10-08,Sun,Premier League,Matchweek 8,Away,D 2–2,Liverpool,Brighton,Y,RM,90,40,35,5,1,0,0,1,3,0,0,0,0,33,0,1,Match Report
2023-10-21,Sat,Premier League,Matchweek 9,Home,W 2–0,Liverpool,Everton,Y,"RM,LM",90,92,80,11,2,0,1,6,3,5,3,0,0,81,1,0,Match Report
2023-10-29,Sun,Premier League,Matchweek 10,Home,W 3–0,Liverpool,Nott'ham Forest,Y,RM,90,94,89,5,0,0,1,10,3,1,1,0,0,81,0,0,Match Report
2023-11-05,Sun,Premier League,Matchweek 11,Away,D 1–1,Liverpool,Luton Town,Y,LM,65,46,41,5,2,0,0,4,0,2,0,0,0,35,0,1,Match Report
2023-11-09,Thu,Europa Lg,Group stage,Away,L 2–3,Liverpool,fr Toulouse,N,LM,45,44,40,4,2,0,1,1,1,0,0,0,0,34,0,1,Match Report
2023-11-12,Sun,Premier League,Matchweek 12,Home,W 3–0,Liverpool,Brentford,Y,RM,89,62,58,3,1,0,2,1,1,0,0,0,0,53,1,0,Match Report
2023-11-25,Sat,Premier League,Matchweek 13,Away,D 1–1,Liverpool,Manchester City,Y,RM,72,29,25,3,1,2,0,2,1,0,0,0,0,23,1,0,Match Report
