Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Report
2023-08-13,Sun,Premier League,Matchweek 1,Away,D 1–1,Liverpool,Chelsea,Y,"RM,LW",90,56,2,10,24,24,4,56,1,0,0.0,1,100.0,27,109,40,1,2,2,2,0,34,8,Match Report
2023-08-19,Sat,Premier League,Matchweek 2,Home,W 3–1,Liverpool,Bournemouth,Y,"RM,CM",90,85,2,10,53,25,4,85,6,3,50.0,2,33.3,46,315,195,5,1,2,1,1,63,2,Match Report
2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Liverpool,Newcastle Utd,Y,"RM,CM",90,56,1,13,27,16,1,56,6,3,50.0,3,50.0,22,83,34,1,1,0,1,0,32,3,Match Report
2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–0,Liverpool,Aston Villa,Y,"RM,LM",90,71,4,11,45,16,2,71,3,1,33.3,1,33.3,46,171,85,2,0,2,2,1,55,7,Match Report
2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,Y,"CM,RM",90,114,4,17,66,32,1,114,1,0,0.0,1,100.0,67,336,241,2,6,0,1,1,87,3,Match Report
2023-09-21,Thu,Europa Lg,Group stage,Away,W 3–1,Liverpool,at LASK,N,"RM,RW",30,34,2,3,19,12,1,34,2,0,0.0,2,100.0,18,156,117,2,1,0,0,0,21,0,Match Report
2023-09-24,Sun,Premier League,Matchweek 6,Home,W 3–1,Liverpool,West Ham,Y,RM,90,101,2,11,53,38,1,101,0,0,0,0,0,68,308,126,1,4,0,0,1,73,8,Match Report
2023-09-30,Sat,Premier League,Matchweek 7,Away,L 1–2,Liverpool,Tottenham,Y,"CM,RM",90,60,2,22,23,15,0,60,4,1,25.0,2,50.0,33,126,85,1,1,0,0,0,31,4,Match Report
2023-10-05,Thu,Europa Lg,Group stage,Home,W 2–0,Liverpool,be Union SG,N,LM,12,11,0,0,6,5,0,11,1,0,0.0,1,100.0,5,16,9,0,0,0,0,0,7,0,Match Report
2023-10-08,Sun,Premier League,Matchweek 8,Away,D 2–2,Liverpool,Brighton,Y,RM,90,49,0,7,26,17,2,49,1,1,100.0,0,0.0,32,136,67,0,1,0,2,1,35,3,Match Report
2023-10-21,Sat,Premier League,Matchweek 9,Home,W 2–0,Liverpool,Everton,Y,"RM,LM",90,105,0,8,47,50,3,105,2,1,50.0,1,50.0,58,398,269,8,8,2,0,2,81,6,Match Report
2023-10-29,Sun,Premier League,Matchweek 10,Home,W 3–0,Liverpool,Nott'ham Forest,Y,RM,90,100,2,11,42,48,3,100,4,3,75.0,1,25.0,55,435,184,6,5,1,0,1,81,19,Match Report
2023-11-05,Sun,Premier League,Matchweek 11,Away,D 1–1,Liverpool,Luton Town,Y,LM,65,54,1,6,25,23,2,54,0,0,0,0,0,42,153,65,2,2,0,3,3,42,7,Match Report
2023-11-09,Thu,Europa Lg,Group stage,Away,L 2–3,Liverpool,fr Toulouse,N,LM,45,48,0,5,22,21,1,48,1,0,0.0,1,100.0,37,169,73,1,3,0,0,1,35,3,Match Report
2023-11-12,Sun,Premier League,Matchweek 12,Home,W 3–0,Liverpool,Brentford,Y,RM,89,71,4,11,36,25,0,71,2,0,0.0,2,100.0,47,199,129,4,3,0,0,0,45,4,Match Report
2023-11-25,Sat,Premier League,Matchweek 13,Away,D 1–1,Liverpool,Manchester City,Y,RM,72,32,1,4,18,10,3,32,1,0,0.0,1,100.0,19,115,81,3,1,1,1,0,21,4,Match Report
