Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Report
2023-08-13,Sun,Premier League,Matchweek 1,Away,D 1–1,Liverpool,Chelsea,N,RM,14,13,1,2,5,8,2,13,1,1,100.0,0,0.0,7,17,10,0,0,0,1,0,6,2,Match Report
2023-08-19,Sat,Premier League,Matchweek 2,Home,W 3–1,Liverpool,Bournemouth,N,RM,15,12,0,1,5,6,0,12,1,0,0.0,1,100.0,12,46,33,2,1,0,1,0,11,2,Match Report
2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Liverpool,Newcastle Utd,N,"CM,RM",33,20,1,3,11,6,0,20,0,0,0,0,0,10,11,5,0,0,0,1,0,16,0,Match Report
2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–0,Liverpool,Aston Villa,N,RM,26,19,0,1,12,7,0,19,0,0,0,0,0,12,56,28,1,2,0,0,0,15,4,Match Report
2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,N,RM,35,33,0,1,14,18,3,33,0,0,0,0,0,17,108,46,2,1,2,0,0,26,3,Match Report
2023-09-21,Thu,Europa Lg,Group stage,Away,W 3–1,Liverpool,at LASK,Y,"RM,LM",90,56,0,5,30,21,4,56,2,1,50.0,1,50.0,34,151,37,0,5,0,2,1,42,3,Match Report
2023-10-05,Thu,Europa Lg,Group stage,Home,W 2–0,Liverpool,be Union SG,Y,"RW,RM",90,56,0,3,32,21,2,56,0,0,0,0,0,38,169,81,4,2,1,2,0,43,4,Match Report
2023-10-08,Sun,Premier League,Matchweek 8,Away,D 2–2,Liverpool,Brighton,Y,LM,45,19,0,1,9,9,0,19,0,0,0,0,0,13,67,20,1,1,0,0,2,17,2,Match Report
2023-10-21,Sat,Premier League,Matchweek 9,Home,W 2–0,Liverpool,Everton,N,RM,29,35,0,0,16,19,1,35,0,0,0,0,0,17,143,75,3,2,1,0,0,26,3,Match Report
2023-10-26,Thu,Europa Lg,Group stage,Home,W 5–1,Liverpool,fr Toulouse,Y,"RW,RM",90,69,1,4,43,24,0,69,2,2,100.0,0,0.0,59,297,90,2,2,0,4,0,51,8,Match Report
2023-10-29,Sun,Premier League,Matchweek 10,Home,W 3–0,Liverpool,Nott'ham Forest,N,LM,32,20,0,3,10,7,2,20,0,0,0,0,0,9,47,25,1,2,0,0,0,15,4,Match Report
2023-11-05,Sun,Premier League,Matchweek 11,Away,D 1–1,Liverpool,Luton Town,N,LM,25,21,0,1,5,16,1,21,1,0,0.0,1,100.0,16,93,28,0,1,0,0,1,15,5,Match Report
2023-11-09,Thu,Europa Lg,Group stage,Away,L 2–3,Liverpool,fr Toulouse,Y,RM,90,77,1,4,44,30,4,77,5,3,60.0,1,20.0,57,306,123,3,3,2,0,0,57,11,Match Report
2023-11-12,Sun,Premier League,Matchweek 12,Home,W 3–0,Liverpool,Brentford,N,LM,8,6,0,0,5,1,0,6,0,0,0,0,0,5,49,17,1,1,0,0,0,5,0,Match Report
2023-11-25,Sat,Premier League,Matchweek 13,Away,D 1–1,Liverpool,Manchester City,N,RM,6,4,0,3,1,0,0,4,0,0,0,0,0,2,4,2,0,0,0,0,0,3,0,Match Report
