Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Performance Gls,Performance Ast,Performance PK,Performance PKatt,Performance Sh,Performance SoT,Performance CrdY,Performance CrdR,Performance Touches,Performance Tkl,Performance Int,Performance Blocks,Expected xG,Expected npxG,Expected xAG,SCA SCA,SCA GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Report
2023-08-13,Sun,Premier League,Matchweek 1,Away,D 1–1,Liverpool,Chelsea,Y,LM,65,0,0,0,0,0,0,0,0,28,3,0,4,0.0,0.0,0.1,2,0,10,15,66.7,2,14,3,2,1,Match Report
2023-08-19,Sat,Premier League,Matchweek 2,Home,W 3–1,Liverpool,Bournemouth,Y,LM,62,0,0,0,0,3,0,0,0,33,1,0,2,0.2,0.2,0.1,3,0,20,25,80.0,5,21,1,2,2,Match Report
2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Liverpool,Newcastle Utd,Y,"FW,LM",57,0,0,0,0,0,0,0,0,19,0,1,2,0.0,0.0,0.0,1,0,5,8,62.5,2,14,2,4,1,Match Report
2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–0,Liverpool,Aston Villa,N,FW,26,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,1,4,0,0,0,Match Report
2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,Y,FW,55,1,0,0,0,3,1,0,0,22,1,0,0,1.1,1.1,0.0,1,0,10,13,76.9,3,16,0,2,1,Match Report
2023-09-24,Sun,Premier League,Matchweek 6,Home,W 3–1,Liverpool,West Ham,N,FW,10,0,0,0,0,2,1,0,0,14,0,0,1,0.1,0.1,0.0,0,0,4,8,50.0,2,11,1,1,0,Match Report
2023-09-27,Wed,EFL Cup,Third round,Home,W 3–1,Liverpool,Leicester City,Y,FW,90,1,0,0,0,7,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
2023-09-30,Sat,Premier League,Matchweek 7,Away,L 1–2,Liverpool,Tottenham,Y,"FW,RM",45,1,0,0,0,3,2,0,0,16,0,1,0,0.4,0.4,0.0,2,0,9,11,81.8,1,15,0,0,0,Match Report
2023-10-26,Thu,Europa Lg,Group stage,Home,W 5–1,Liverpool,fr Toulouse,N,FW,25,0,1,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.3,0,0,9,11,81.8,2,13,2,0,0,Match Report
2023-10-29,Sun,Premier League,Matchweek 10,Home,W 3–0,Liverpool,Nott'ham Forest,N,LW,33,0,0,0,0,1,0,0,0,23,0,0,1,0.0,0.0,0.0,3,0,12,17,70.6,2,14,0,1,1,Match Report
2023-11-01,Wed,EFL Cup,Fourth round,Away,W 2–1,Liverpool,Bournemouth,Y,FW,80,1,0,0,0,3,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
2023-11-05,Sun,Premier League,Matchweek 11,Away,D 1–1,Liverpool,Luton Town,N,"RM,LW",25,0,0,0,0,2,0,0,0,9,0,0,0,0.6,0.6,0.0,0,0,4,5,80.0,1,8,0,0,0,Match Report
2023-11-09,Thu,Europa Lg,Group stage,Away,L 2–3,Liverpool,fr Toulouse,Y,FW,72,0,0,0,0,0,0,0,0,24,0,0,0,0.0,0.0,0.2,4,0,13,19,68.4,0,16,1,2,0,Match Report
2023-11-12,Sun,Premier League,Matchweek 12,Home,W 3–0,Liverpool,Brentford,Y,LM,82,0,0,0,0,2,1,0,0,43,1,1,0,0.1,0.1,0.0,2,0,30,33,90.9,4,32,2,4,2,Match Report
2023-11-25,Sat,Premier League,Matchweek 13,Away,D 1–1,Liverpool,Manchester City,N,"FW,RM",18,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,2,0,0,0,Match Report
