Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Report
2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,N,RW,1,2,3,66.7,38,11,0,0,0,2,3,66.7,0,0,0,0,0.0,0.0,0,0,0,0,0,Match Report
2023-09-21,Thu,Europa Lg,Group stage,Away,W 3–1,Liverpool,at LASK,Y,CM,73,24,34,70.6,318,138,15,21,71.4,6,8,75.0,1,2,50.0,1,0.6,0.6,4,2,4,0,5,Match Report
2023-09-24,Sun,Premier League,Matchweek 6,Home,W 3–1,Liverpool,West Ham,N,LM,14,7,10,70.0,82,36,6,9,66.7,1,1,100.0,0,0,0,0,0.0,0.0,0,0,0,0,2,Match Report
2023-09-30,Sat,Premier League,Matchweek 7,Away,L 1–2,Liverpool,Tottenham,N,CM,11,1,1,100.0,16,5,0,0,0,1,1,100.0,0,0,0,0,0.0,0.0,0,0,0,0,0,Match Report
2023-10-05,Thu,Europa Lg,Group stage,Home,W 2–0,Liverpool,be Union SG,Y,LM,78,28,36,77.8,516,166,11,14,78.6,14,17,82.4,3,3,100.0,0,0.5,0.1,2,8,3,0,7,Match Report
2023-10-08,Sun,Premier League,Matchweek 8,Away,D 2–2,Liverpool,Brighton,N,LM,45,15,20,75.0,180,72,10,12,83.3,5,7,71.4,0,0,0,0,0.0,0.0,0,0,1,0,4,Match Report
2023-10-21,Sat,Premier League,Matchweek 9,Home,W 2–0,Liverpool,Everton,Y,LM,61,31,32,96.9,456,144,15,15,100.0,12,13,92.3,1,1,100.0,0,0.0,0.0,1,1,1,0,5,Match Report
2023-10-26,Thu,Europa Lg,Group stage,Home,W 5–1,Liverpool,fr Toulouse,Y,LM,69,26,27,96.3,403,138,15,15,100.0,10,11,90.9,1,1,100.0,0,0.2,0.1,3,5,2,0,10,Match Report
2023-10-29,Sun,Premier League,Matchweek 10,Home,W 3–0,Liverpool,Nott'ham Forest,Y,LM,58,20,21,95.2,254,60,13,14,92.9,5,5,100.0,0,0,0,0,0.0,0.0,0,2,0,0,2,Match Report
2023-11-05,Sun,Premier League,Matchweek 11,Away,D 1–1,Liverpool,Luton Town,Y,RM,82,32,35,91.4,482,182,18,20,90.0,14,14,100.0,0,0,0,0,0.3,0.1,2,3,3,0,10,Match Report
2023-11-25,Sat,Premier League,Matchweek 13,Away,D 1–1,Liverpool,Manchester City,N,LM,37,7,9,77.8,96,53,4,6,66.7,3,3,100.0,0,0,0,0,0.0,0.2,1,2,1,0,3,Match Report
