Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,Report
2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,N,RW,1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,Match Report
2023-09-21,Thu,Europa Lg,Group stage,Away,W 3–1,Liverpool,at LASK,Y,CM,73,34,33,1,0,2,0,0,1,0,0,0,0,24,0,0,Match Report
2023-09-24,Sun,Premier League,Matchweek 6,Home,W 3–1,Liverpool,West Ham,N,LM,14,10,9,1,0,0,0,0,1,0,0,0,0,7,0,0,Match Report
2023-09-30,Sat,Premier League,Matchweek 7,Away,L 1–2,Liverpool,Tottenham,N,CM,11,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Match Report
2023-10-05,Thu,Europa Lg,Group stage,Home,W 2–0,Liverpool,be Union SG,Y,LM,78,36,35,0,0,1,0,0,0,0,0,0,0,28,1,0,Match Report
2023-10-08,Sun,Premier League,Matchweek 8,Away,D 2–2,Liverpool,Brighton,N,LM,45,20,20,0,0,0,0,0,0,0,0,0,0,15,0,1,Match Report
2023-10-21,Sat,Premier League,Matchweek 9,Home,W 2–0,Liverpool,Everton,Y,LM,61,32,31,1,1,0,1,0,0,0,0,0,0,31,0,0,Match Report
2023-10-26,Thu,Europa Lg,Group stage,Home,W 5–1,Liverpool,fr Toulouse,Y,LM,69,27,27,0,0,0,1,0,0,0,0,0,0,26,0,0,Match Report
2023-10-29,Sun,Premier League,Matchweek 10,Home,W 3–0,Liverpool,Nott'ham Forest,Y,LM,58,21,21,0,0,0,0,0,0,0,0,0,0,20,0,0,Match Report
2023-11-05,Sun,Premier League,Matchweek 11,Away,D 1–1,Liverpool,Luton Town,Y,RM,82,35,35,0,0,0,0,0,0,0,0,0,0,32,0,1,Match Report
2023-11-25,Sat,Premier League,Matchweek 13,Away,D 1–1,Liverpool,Manchester City,N,LM,37,9,9,0,0,1,0,0,0,0,0,0,0,7,0,0,Match Report
