Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Report
2023-08-13,Sun,Premier League,Matchweek 1,Away,D 1–1,Liverpool,Chelsea,N,FW,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
2023-08-19,Sat,Premier League,Matchweek 2,Home,W 3–1,Liverpool,Bournemouth,N,FW,5,1,1,0,1,0,1,2,50.0,1,1,0,1,0,1,0,0,Match Report
2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Liverpool,Newcastle Utd,N,FW,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–0,Liverpool,Aston Villa,Y,FW,64,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,1,0,Match Report
2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,N,FW,35,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Match Report
2023-09-21,Thu,Europa Lg,Group stage,Away,W 3–1,Liverpool,at LASK,Y,FW,90,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0,Match Report
2023-09-24,Sun,Premier League,Matchweek 6,Home,W 3–1,Liverpool,West Ham,Y,FW,80,0,0,0,0,0,0,1,0.0,1,3,1,2,0,0,0,0,Match Report
2023-10-05,Thu,Europa Lg,Group stage,Home,W 2–0,Liverpool,be Union SG,Y,FW,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
2023-10-08,Sun,Premier League,Matchweek 8,Away,D 2–2,Liverpool,Brighton,Y,FW,90,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,Match Report
2023-10-21,Sat,Premier League,Matchweek 9,Home,W 2–0,Liverpool,Everton,N,FW,29,1,1,0,1,0,1,1,100.0,0,0,0,0,0,1,0,0,Match Report
2023-10-26,Thu,Europa Lg,Group stage,Home,W 5–1,Liverpool,fr Toulouse,Y,FW,65,2,1,0,1,1,0,0,0,0,0,0,0,0,2,0,0,Match Report
2023-10-29,Sun,Premier League,Matchweek 10,Home,W 3–0,Liverpool,Nott'ham Forest,Y,FW,79,1,0,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0,Match Report
2023-11-05,Sun,Premier League,Matchweek 11,Away,D 1–1,Liverpool,Luton Town,Y,FW,90,1,1,1,0,0,0,1,0.0,1,1,0,1,0,1,1,0,Match Report
2023-11-09,Thu,Europa Lg,Group stage,Away,L 2–3,Liverpool,fr Toulouse,N,FW,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
2023-11-12,Sun,Premier League,Matchweek 12,Home,W 3–0,Liverpool,Brentford,Y,FW,90,1,1,0,0,1,0,1,0.0,1,1,1,0,0,1,1,0,Match Report
2023-11-25,Sat,Premier League,Matchweek 13,Away,D 1–1,Liverpool,Manchester City,Y,FW,84,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,Match Report
