Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Report
2023-08-13,Sun,Premier League,Matchweek 1,Away,D 1–1,Liverpool,Chelsea,N,FW,25,13,0,0,1,12,2,13,3,2,66.7,1,33.3,9,40,20,1,0,0,1,1,9,4,Match Report
2023-08-19,Sat,Premier League,Matchweek 2,Home,W 3–1,Liverpool,Bournemouth,N,FW,5,5,0,0,4,1,0,5,0,0,0,0,0,4,8,5,0,0,0,2,0,3,0,Match Report
2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Liverpool,Newcastle Utd,N,FW,14,8,0,0,2,6,3,8,0,0,0,0,0,4,9,4,0,0,0,0,1,5,2,Match Report
2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–0,Liverpool,Aston Villa,Y,FW,64,24,1,2,6,16,6,24,0,0,0,0,0,16,70,41,2,0,1,4,0,18,4,Match Report
2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,N,FW,35,19,0,0,3,16,4,19,1,0,0.0,1,100.0,14,121,95,3,2,2,0,1,14,3,Match Report
2023-09-21,Thu,Europa Lg,Group stage,Away,W 3–1,Liverpool,at LASK,Y,FW,90,36,0,0,10,27,12,35,8,2,25.0,5,62.5,22,128,51,2,1,1,1,1,22,7,Match Report
2023-09-24,Sun,Premier League,Matchweek 6,Home,W 3–1,Liverpool,West Ham,Y,FW,80,28,1,3,11,15,7,28,2,1,50.0,1,50.0,16,61,23,1,0,1,1,2,22,5,Match Report
2023-10-05,Thu,Europa Lg,Group stage,Home,W 2–0,Liverpool,be Union SG,Y,FW,45,14,0,0,3,11,4,14,0,0,0,0,0,11,63,20,2,0,1,1,0,13,7,Match Report
2023-10-08,Sun,Premier League,Matchweek 8,Away,D 2–2,Liverpool,Brighton,Y,FW,90,29,0,0,13,16,5,29,2,0,0.0,1,50.0,16,117,41,2,1,0,2,2,23,7,Match Report
2023-10-21,Sat,Premier League,Matchweek 9,Home,W 2–0,Liverpool,Everton,N,FW,29,17,0,1,5,11,5,17,1,0,0.0,1,100.0,12,140,108,3,2,2,1,0,14,5,Match Report
2023-10-26,Thu,Europa Lg,Group stage,Home,W 5–1,Liverpool,fr Toulouse,Y,FW,65,34,0,1,13,20,7,34,6,4,66.7,2,33.3,28,195,100,3,4,1,3,2,27,11,Match Report
2023-10-29,Sun,Premier League,Matchweek 10,Home,W 3–0,Liverpool,Nott'ham Forest,Y,FW,79,31,0,0,11,20,7,31,2,0,0.0,2,100.0,10,36,5,0,0,0,2,2,25,7,Match Report
2023-11-05,Sun,Premier League,Matchweek 11,Away,D 1–1,Liverpool,Luton Town,Y,FW,90,43,2,5,11,28,11,43,0,0,0,0,0,20,110,46,2,1,0,4,1,30,12,Match Report
2023-11-09,Thu,Europa Lg,Group stage,Away,L 2–3,Liverpool,fr Toulouse,N,FW,18,7,0,0,1,6,2,7,2,1,50.0,1,50.0,4,12,1,0,0,0,1,1,4,2,Match Report
2023-11-12,Sun,Premier League,Matchweek 12,Home,W 3–0,Liverpool,Brentford,Y,FW,90,39,1,3,11,26,3,39,1,0,0.0,1,100.0,31,143,79,3,4,0,2,1,34,10,Match Report
2023-11-25,Sat,Premier League,Matchweek 13,Away,D 1–1,Liverpool,Manchester City,Y,FW,84,24,1,4,8,12,6,24,1,0,0.0,0,0.0,15,118,72,3,1,3,0,1,18,7,Match Report
