Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Report
2023-08-13,Sun,Premier League,Matchweek 1,Away,D 1–1,Liverpool,Chelsea,Y,FW,65,28,2,6,12,11,3,28,2,1,50.0,1,50.0,10,46,29,1,1,0,1,0,13,2,Match Report
2023-08-19,Sat,Premier League,Matchweek 2,Home,W 3–1,Liverpool,Bournemouth,Y,"FW,RM",75,56,0,5,25,26,13,56,4,2,50.0,2,50.0,33,137,95,3,1,1,6,1,41,11,Match Report
2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Liverpool,Newcastle Utd,N,LM,33,19,1,2,7,10,4,19,0,0,0,0,0,11,92,73,4,2,2,1,0,15,6,Match Report
2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–0,Liverpool,Aston Villa,N,LW,26,19,0,1,7,11,0,19,1,0,0.0,1,100.0,8,91,77,4,4,0,1,1,13,4,Match Report
2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,Y,"LW,RM",55,26,1,2,11,13,4,26,3,3,100.0,0,0.0,17,90,48,2,0,1,1,1,21,11,Match Report
2023-09-24,Sun,Premier League,Matchweek 6,Home,W 3–1,Liverpool,West Ham,N,LW,10,9,0,2,3,4,3,9,0,0,0,0,0,6,36,28,2,0,2,0,1,6,2,Match Report
2023-09-30,Sat,Premier League,Matchweek 7,Away,L 1–2,Liverpool,Tottenham,N,RM,23,11,1,6,3,2,0,11,2,0,0.0,2,100.0,5,8,0,0,0,0,1,1,6,0,Match Report
2023-10-05,Thu,Europa Lg,Group stage,Home,W 2–0,Liverpool,be Union SG,Y,"FW,LW",90,28,0,0,9,19,8,28,3,1,33.3,2,66.7,17,82,20,2,1,2,3,0,26,14,Match Report
2023-10-21,Sat,Premier League,Matchweek 9,Home,W 2–0,Liverpool,Everton,Y,"FW,LW",90,44,1,1,14,29,13,44,3,1,33.3,1,33.3,25,181,127,7,2,4,2,1,40,8,Match Report
2023-10-26,Thu,Europa Lg,Group stage,Home,W 5–1,Liverpool,fr Toulouse,Y,LW,90,36,0,0,16,21,5,36,4,1,25.0,3,75.0,23,153,90,3,3,1,4,1,20,5,Match Report
2023-10-29,Sun,Premier League,Matchweek 10,Home,W 3–0,Liverpool,Nott'ham Forest,Y,LW,57,32,0,0,10,23,11,32,2,1,50.0,1,50.0,15,76,37,2,2,1,5,2,25,8,Match Report
2023-11-05,Sun,Premier League,Matchweek 11,Away,D 1–1,Liverpool,Luton Town,Y,LW,65,33,0,4,16,15,2,33,3,2,66.7,1,33.3,26,172,119,3,3,0,1,1,22,7,Match Report
2023-11-09,Thu,Europa Lg,Group stage,Away,L 2–3,Liverpool,fr Toulouse,N,LW,10,9,0,0,2,7,2,9,0,0,0,0,0,10,63,41,2,0,2,1,2,10,4,Match Report
2023-11-12,Sun,Premier League,Matchweek 12,Home,W 3–0,Liverpool,Brentford,Y,LW,82,35,1,2,14,19,5,35,1,1,100.0,0,0.0,24,124,49,2,2,2,3,0,28,10,Match Report
2023-11-25,Sat,Premier League,Matchweek 13,Away,D 1–1,Liverpool,Manchester City,Y,LW,53,11,0,4,4,3,1,11,1,0,0.0,1,100.0,7,34,15,0,1,1,1,1,7,2,Match Report
