Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP,Report
2023-08-13,Sun,Premier League,Matchweek 1,Away,D 1–1,Liverpool,Chelsea,Y,"RM,LW",90,33,42,78.6,435,106,20,25,80.0,8,11,72.7,2,3,66.7,0,0.3,0.1,3,1,0,0,2,Match Report
2023-08-19,Sat,Premier League,Matchweek 2,Home,W 3–1,Liverpool,Bournemouth,Y,"RM,CM",90,67,72,93.1,1072,194,34,38,89.5,26,27,96.3,5,5,100.0,0,0.0,0.0,1,5,2,0,4,Match Report
2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Liverpool,Newcastle Utd,Y,"RM,CM",90,32,42,76.2,533,97,13,14,92.9,17,19,89.5,2,6,33.3,0,0.1,0.0,1,1,1,0,7,Match Report
2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–0,Liverpool,Aston Villa,Y,"RM,LM",90,54,60,90.0,866,152,32,34,94.1,18,20,90.0,4,4,100.0,0,0.1,0.3,2,2,0,0,2,Match Report
2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,Y,"CM,RM",90,82,102,80.4,1277,401,47,49,95.9,26,30,86.7,6,16,37.5,0,0.0,0.1,1,15,1,0,14,Match Report
2023-09-21,Thu,Europa Lg,Group stage,Away,W 3–1,Liverpool,at LASK,N,"RM,RW",30,26,28,92.9,471,178,15,17,88.2,8,8,100.0,3,3,100.0,0,0.0,0.2,1,7,2,0,6,Match Report
2023-09-24,Sun,Premier League,Matchweek 6,Home,W 3–1,Liverpool,West Ham,Y,RM,90,84,92,91.3,1358,410,44,47,93.6,30,31,96.8,9,11,81.8,0,0.1,0.4,4,7,3,0,15,Match Report
2023-09-30,Sat,Premier League,Matchweek 7,Away,L 1–2,Liverpool,Tottenham,Y,"CM,RM",90,38,49,77.6,654,227,25,27,92.6,7,11,63.6,5,7,71.4,0,0.1,0.0,1,2,2,2,5,Match Report
2023-10-05,Thu,Europa Lg,Group stage,Home,W 2–0,Liverpool,be Union SG,N,LM,12,7,9,77.8,107,27,5,6,83.3,1,2,50.0,1,1,100.0,0,0.0,0.0,0,1,0,0,1,Match Report
2023-10-08,Sun,Premier League,Matchweek 8,Away,D 2–2,Liverpool,Brighton,Y,RM,90,33,40,82.5,574,179,14,16,87.5,17,19,89.5,2,4,50.0,0,0.9,0.5,4,4,2,1,6,Match Report
2023-10-21,Sat,Premier League,Matchweek 9,Home,W 2–0,Liverpool,Everton,Y,"RM,LM",90,81,92,88.0,1262,328,44,45,97.8,28,33,84.8,5,8,62.5,0,0.2,0.2,4,5,2,0,8,Match Report
2023-10-29,Sun,Premier League,Matchweek 10,Home,W 3–0,Liverpool,Nott'ham Forest,Y,RM,90,81,94,86.2,1333,350,39,44,88.6,29,33,87.9,8,12,66.7,2,1.7,0.7,4,4,3,2,11,Match Report
2023-11-05,Sun,Premier League,Matchweek 11,Away,D 1–1,Liverpool,Luton Town,Y,LM,65,35,46,76.1,660,94,14,19,73.7,15,19,78.9,5,6,83.3,0,0.0,0.0,1,1,1,0,4,Match Report
2023-11-09,Thu,Europa Lg,Group stage,Away,L 2–3,Liverpool,fr Toulouse,N,LM,45,34,44,77.3,596,124,21,24,87.5,9,11,81.8,4,6,66.7,0,0.0,0.1,0,2,0,0,3,Match Report
2023-11-12,Sun,Premier League,Matchweek 12,Home,W 3–0,Liverpool,Brentford,Y,RM,89,53,62,85.5,905,188,26,29,89.7,19,21,90.5,4,6,66.7,0,0.1,0.0,2,2,0,0,4,Match Report
2023-11-25,Sat,Premier League,Matchweek 13,Away,D 1–1,Liverpool,Manchester City,Y,RM,72,23,29,79.3,378,124,12,13,92.3,9,11,81.8,2,3,66.7,0,0.3,0.4,1,3,1,0,6,Match Report
