Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Report
2023-08-13,Sun,Premier League,Matchweek 1,Away,D 1–1,Liverpool,Chelsea,N,RM,14,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,Match Report
2023-08-19,Sat,Premier League,Matchweek 2,Home,W 3–1,Liverpool,Bournemouth,N,RM,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Liverpool,Newcastle Utd,N,"CM,RM",33,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,Match Report
2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–0,Liverpool,Aston Villa,N,RM,26,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,Match Report
2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,N,RM,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
2023-09-21,Thu,Europa Lg,Group stage,Away,W 3–1,Liverpool,at LASK,Y,"RM,LM",90,1,1,0,1,0,0,3,0.0,3,2,0,2,0,1,0,0,Match Report
2023-10-05,Thu,Europa Lg,Group stage,Home,W 2–0,Liverpool,be Union SG,Y,"RW,RM",90,1,0,1,0,0,0,2,0.0,2,4,0,4,1,2,0,0,Match Report
2023-10-08,Sun,Premier League,Matchweek 8,Away,D 2–2,Liverpool,Brighton,Y,LM,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
2023-10-21,Sat,Premier League,Matchweek 9,Home,W 2–0,Liverpool,Everton,N,RM,29,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0,Match Report
2023-10-26,Thu,Europa Lg,Group stage,Home,W 5–1,Liverpool,fr Toulouse,Y,"RW,RM",90,5,3,1,2,2,2,4,50.0,2,0,0,0,0,5,0,0,Match Report
2023-10-29,Sun,Premier League,Matchweek 10,Home,W 3–0,Liverpool,Nott'ham Forest,N,LM,32,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Match Report
2023-11-05,Sun,Premier League,Matchweek 11,Away,D 1–1,Liverpool,Luton Town,N,LM,25,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Match Report
2023-11-09,Thu,Europa Lg,Group stage,Away,L 2–3,Liverpool,fr Toulouse,Y,RM,90,1,1,0,1,0,0,1,0.0,1,0,0,0,2,3,1,0,Match Report
2023-11-12,Sun,Premier League,Matchweek 12,Home,W 3–0,Liverpool,Brentford,N,LM,8,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Match Report
2023-11-25,Sat,Premier League,Matchweek 13,Away,D 1–1,Liverpool,Manchester City,N,RM,6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Match Report
