Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks,Report
2023-08-13,Sun,Premier League,Matchweek 1,Away,D 1–1,Liverpool,Chelsea,N,RM,14,10,9,0,0,0,0,0,0,0,0,0,0,8,1,0,Match Report
2023-08-19,Sat,Premier League,Matchweek 2,Home,W 3–1,Liverpool,Bournemouth,N,RM,15,10,10,0,0,0,0,0,0,0,0,0,0,7,0,0,Match Report
2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Liverpool,Newcastle Utd,N,"CM,RM",33,16,16,0,0,0,0,0,0,0,0,0,0,15,0,0,Match Report
2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–0,Liverpool,Aston Villa,N,RM,26,17,16,1,0,0,0,0,1,0,0,0,0,17,0,0,Match Report
2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,N,RM,35,30,30,0,0,0,0,0,0,0,0,0,0,24,0,0,Match Report
2023-09-21,Thu,Europa Lg,Group stage,Away,W 3–1,Liverpool,at LASK,Y,"RM,LM",90,45,44,1,0,1,1,1,0,0,0,0,0,36,0,0,Match Report
2023-10-05,Thu,Europa Lg,Group stage,Home,W 2–0,Liverpool,be Union SG,Y,"RW,RM",90,47,47,0,0,0,0,1,0,0,0,0,0,39,0,5,Match Report
2023-10-08,Sun,Premier League,Matchweek 8,Away,D 2–2,Liverpool,Brighton,Y,LM,45,18,18,0,0,0,0,1,0,0,0,0,0,13,0,2,Match Report
2023-10-21,Sat,Premier League,Matchweek 9,Home,W 2–0,Liverpool,Everton,N,RM,29,31,31,0,0,0,0,0,0,0,0,0,0,31,0,0,Match Report
2023-10-26,Thu,Europa Lg,Group stage,Home,W 5–1,Liverpool,fr Toulouse,Y,"RW,RM",90,58,53,5,1,0,0,4,0,4,2,0,0,43,0,2,Match Report
2023-10-29,Sun,Premier League,Matchweek 10,Home,W 3–0,Liverpool,Nott'ham Forest,N,LM,32,16,15,0,0,0,0,0,0,0,0,0,0,15,1,0,Match Report
2023-11-05,Sun,Premier League,Matchweek 11,Away,D 1–1,Liverpool,Luton Town,N,LM,25,19,18,1,0,0,0,6,1,0,0,0,0,14,0,1,Match Report
2023-11-09,Thu,Europa Lg,Group stage,Away,L 2–3,Liverpool,fr Toulouse,Y,RM,90,65,59,6,0,0,0,3,3,1,1,0,0,55,0,1,Match Report
2023-11-12,Sun,Premier League,Matchweek 12,Home,W 3–0,Liverpool,Brentford,N,LM,8,5,5,0,0,0,0,0,0,0,0,0,0,5,0,0,Match Report
2023-11-25,Sat,Premier League,Matchweek 13,Away,D 1–1,Liverpool,Manchester City,N,RM,6,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,Match Report
