Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Performance Gls,Performance Ast,Performance PK,Performance PKatt,Performance Sh,Performance SoT,Performance CrdY,Performance CrdR,Performance Touches,Performance Tkl,Performance Int,Performance Blocks,Expected xG,Expected npxG,Expected xAG,SCA SCA,SCA GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Report
2023-08-13,Sun,Premier League,Matchweek 1,Away,D 1–1,Liverpool,Chelsea,N,RM,14,0,0,0,0,0,0,0,0,13,0,1,0,0.0,0.0,0.0,1,0,8,10,80.0,3,7,0,1,1,Match Report
2023-08-19,Sat,Premier League,Matchweek 2,Home,W 3–1,Liverpool,Bournemouth,N,RM,15,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,7,10,70.0,0,12,2,1,0,Match Report
2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Liverpool,Newcastle Utd,N,"CM,RM",33,0,0,0,0,0,0,0,0,20,0,0,1,0.0,0.0,0.0,0,0,15,16,93.8,1,10,0,0,0,Match Report
2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–0,Liverpool,Aston Villa,N,RM,26,0,0,0,0,1,0,0,0,19,1,0,0,0.0,0.0,0.0,0,0,17,17,100.0,2,12,1,0,0,Match Report
2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,N,RM,35,0,0,0,0,3,0,1,0,33,0,0,0,0.1,0.1,0.0,2,0,24,30,80.0,6,17,2,0,0,Match Report
2023-09-21,Thu,Europa Lg,Group stage,Away,W 3–1,Liverpool,at LASK,Y,"RM,LM",90,0,0,0,0,3,1,0,0,56,1,0,2,0.1,0.1,0.1,3,2,36,45,80.0,8,34,0,2,1,Match Report
2023-10-05,Thu,Europa Lg,Group stage,Home,W 2–0,Liverpool,be Union SG,Y,"RW,RM",90,0,0,0,0,1,0,0,0,56,1,1,4,0.0,0.0,0.0,4,0,39,47,83.0,5,38,4,0,0,Match Report
2023-10-08,Sun,Premier League,Matchweek 8,Away,D 2–2,Liverpool,Brighton,Y,LM,45,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,1,0,13,18,72.2,2,13,1,0,0,Match Report
2023-10-21,Sat,Premier League,Matchweek 9,Home,W 2–0,Liverpool,Everton,N,RM,29,0,0,0,0,1,1,0,0,35,0,1,1,0.0,0.0,0.0,0,0,31,31,100.0,5,17,3,0,0,Match Report
2023-10-26,Thu,Europa Lg,Group stage,Home,W 5–1,Liverpool,fr Toulouse,Y,"RW,RM",90,0,0,0,0,1,0,1,0,69,5,0,0,0.1,0.1,0.0,2,0,43,58,74.1,4,59,2,2,2,Match Report
2023-10-29,Sun,Premier League,Matchweek 10,Home,W 3–0,Liverpool,Nott'ham Forest,N,LM,32,0,0,0,0,3,0,0,0,20,1,0,0,0.1,0.1,0.0,1,0,15,16,93.8,1,9,1,0,0,Match Report
2023-11-05,Sun,Premier League,Matchweek 11,Away,D 1–1,Liverpool,Luton Town,N,LM,25,0,1,0,0,1,0,0,0,21,0,0,0,0.0,0.0,0.7,3,1,14,19,73.7,1,16,0,1,0,Match Report
2023-11-09,Thu,Europa Lg,Group stage,Away,L 2–3,Liverpool,fr Toulouse,Y,RM,90,0,0,0,0,4,0,0,0,77,1,2,0,0.3,0.3,0.0,4,0,55,65,84.6,11,57,3,5,3,Match Report
2023-11-12,Sun,Premier League,Matchweek 12,Home,W 3–0,Liverpool,Brentford,N,LM,8,0,0,0,0,1,1,0,0,6,0,0,0,0.0,0.0,0.0,1,0,5,5,100.0,2,5,1,0,0,Match Report
2023-11-25,Sat,Premier League,Matchweek 13,Away,D 1–1,Liverpool,Manchester City,N,RM,6,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,4,25.0,0,2,0,0,0,Match Report
