Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Report
2023-08-13,Sun,Premier League,Matchweek 1,Away,D 1–1,Liverpool,Chelsea,Y,LW,76,28,0,3,8,17,4,28,3,2,66.7,1,33.3,21,109,69,4,1,1,1,1,22,5,Match Report
2023-08-19,Sat,Premier League,Matchweek 2,Home,W 3–1,Liverpool,Bournemouth,Y,"LW,LM",85,47,0,2,15,31,4,47,4,3,75.0,1,25.0,27,125,64,2,3,1,1,2,40,9,Match Report
2023-08-27,Sun,Premier League,Matchweek 3,Away,W 2–1,Liverpool,Newcastle Utd,Y,LW,32,7,0,1,5,1,1,7,1,1,100.0,0,0.0,7,22,15,1,0,0,1,1,5,1,Match Report
2023-09-03,Sun,Premier League,Matchweek 4,Home,W 3–0,Liverpool,Aston Villa,Y,LW,64,33,0,2,19,12,5,33,1,0,0.0,1,100.0,26,160,114,5,2,3,1,1,27,8,Match Report
2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,N,"LW,LM",45,44,0,2,7,35,9,44,1,0,0.0,1,100.0,22,74,21,1,0,0,3,1,35,7,Match Report
2023-09-21,Thu,Europa Lg,Group stage,Away,W 3–1,Liverpool,at LASK,Y,LW,90,59,1,5,30,26,4,59,3,1,33.3,1,33.3,35,202,79,3,1,2,4,2,45,15,Match Report
2023-09-24,Sun,Premier League,Matchweek 6,Home,W 3–1,Liverpool,West Ham,Y,LW,80,36,0,3,13,20,4,36,3,1,33.3,2,66.7,26,209,110,3,2,1,3,2,29,9,Match Report
2023-09-30,Sat,Premier League,Matchweek 7,Away,L 1–2,Liverpool,Tottenham,Y,"LM,LW",72,32,0,7,11,16,3,32,4,3,75.0,1,25.0,25,174,78,2,4,0,2,4,20,6,Match Report
2023-10-05,Thu,Europa Lg,Group stage,Home,W 2–0,Liverpool,be Union SG,N,LW,45,16,0,1,7,8,0,16,3,1,33.3,2,66.7,10,71,23,1,1,0,1,0,11,3,Match Report
2023-10-08,Sun,Premier League,Matchweek 8,Away,D 2–2,Liverpool,Brighton,Y,LW,90,37,1,5,20,13,1,37,4,2,50.0,2,50.0,25,165,65,2,1,1,2,1,24,6,Match Report
2023-10-21,Sat,Premier League,Matchweek 9,Home,W 2–0,Liverpool,Everton,Y,"LW,LB",80,55,0,2,16,37,5,55,7,3,42.9,1,14.3,36,284,155,4,6,1,2,0,48,16,Match Report
2023-11-05,Sun,Premier League,Matchweek 11,Away,D 1–1,Liverpool,Luton Town,N,LW,8,13,0,1,5,8,3,13,1,0,0.0,1,100.0,10,115,84,3,1,2,1,1,11,4,Match Report
2023-11-09,Thu,Europa Lg,Group stage,Away,L 2–3,Liverpool,fr Toulouse,Y,LW,80,32,0,0,16,17,3,32,4,1,25.0,2,50.0,28,161,55,2,1,1,1,3,29,4,Match Report
2023-11-12,Sun,Premier League,Matchweek 12,Home,W 3–0,Liverpool,Brentford,N,LW,8,7,0,1,4,2,0,7,1,0,0.0,1,100.0,4,22,0,0,0,0,0,1,5,1,Match Report
2023-11-25,Sat,Premier League,Matchweek 13,Away,D 1–1,Liverpool,Manchester City,N,LW,37,11,0,1,7,3,1,11,0,0,0,0,0,10,64,32,1,1,0,1,1,9,3,Match Report
