Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Report
2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,N,RW,1,1,0,0,1,0,0,1,0.0,1,0,0,0,1,2,0,0,Match Report
2023-09-21,Thu,Europa Lg,Group stage,Away,W 3–1,Liverpool,at LASK,Y,CM,73,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,Match Report
2023-09-24,Sun,Premier League,Matchweek 6,Home,W 3–1,Liverpool,West Ham,N,LM,14,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,2,0,Match Report
2023-09-30,Sat,Premier League,Matchweek 7,Away,L 1–2,Liverpool,Tottenham,N,CM,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Match Report
2023-10-05,Thu,Europa Lg,Group stage,Home,W 2–0,Liverpool,be Union SG,Y,LM,78,2,1,0,1,1,0,0,0,0,4,0,4,0,2,1,0,Match Report
2023-10-08,Sun,Premier League,Matchweek 8,Away,D 2–2,Liverpool,Brighton,N,LM,45,0,0,0,0,0,0,0,0,0,2,0,2,1,1,2,0,Match Report
2023-10-21,Sat,Premier League,Matchweek 9,Home,W 2–0,Liverpool,Everton,Y,LM,61,1,1,0,0,1,0,2,0.0,2,0,0,0,3,4,0,0,Match Report
2023-10-26,Thu,Europa Lg,Group stage,Home,W 5–1,Liverpool,fr Toulouse,Y,LM,69,3,2,0,2,1,0,0,0,0,3,0,3,2,5,0,0,Match Report
2023-10-29,Sun,Premier League,Matchweek 10,Home,W 3–0,Liverpool,Nott'ham Forest,Y,LM,58,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,Match Report
2023-11-05,Sun,Premier League,Matchweek 11,Away,D 1–1,Liverpool,Luton Town,Y,RM,82,1,0,0,1,0,1,3,33.3,2,2,0,2,2,3,0,0,Match Report
2023-11-25,Sat,Premier League,Matchweek 13,Away,D 1–1,Liverpool,Manchester City,N,LM,37,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,Match Report
