Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Performance Gls,Performance Ast,Performance PK,Performance PKatt,Performance Sh,Performance SoT,Performance CrdY,Performance CrdR,Performance Touches,Performance Tkl,Performance Int,Performance Blocks,Expected xG,Expected npxG,Expected xAG,SCA SCA,SCA GCA,Passes Cmp,Passes Att,Passes Cmp%,Passes PrgP,Carries Carries,Carries PrgC,Take-Ons Att,Take-Ons Succ,Report,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries TotDist,Carries PrgDist,Carries Fin 3rd,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Tackles Tkl,Tackles TklW,Tackles Def 3rd,Tackles Mid 3rd,Tackles Att 3rd,Challenges Tkl,Challenges Att,Challenges Tkl%,Challenges Lost,Blocks Blocks,Blocks Sh,Blocks Pass,Int,Tkl+Int,Clr,Err,Total Cmp,Total Att,Total Cmp%,Total TotDist,Total PrgDist,Short Cmp,Short Att,Short Cmp%,Medium Cmp,Medium Att,Medium Cmp%,Long Cmp,Long Att,Long Cmp%,Ast,xAG,xA,KP,Passes Fin 3rd,PPA,CrsPA,PrgP,Att,Pass Types Live,Pass Types Dead,Pass Types FK,Pass Types TB,Pass Types Sw,Pass Types Crs,Pass Types TI,Pass Types CK,Corner Kicks In,Corner Kicks Out,Corner Kicks Str,Outcomes Cmp,Outcomes Off,Outcomes Blocks
2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,N,RW,1,0,0,0,0,0,0,0,0,8,1,1,0,0.0,0.0,0.0,0,0,2,3,66.7,0,4,0,3,1,Match Report,8,0,2,3,4,2,8,33.3,2,66.7,10,0,0,0,0,0,4,0,1,0,0,1,0,0,1,0.0,1,0,0,0,1,2,0,0,2,3,66.7,38,11,0,0,0.0,2,3,66.7,0,0,0.0,0,0.0,0.0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0
2023-09-21,Thu,Europa Lg,Group stage,Away,W 3–1,Liverpool,at LASK,Y,CM,73,0,1,0,0,0,0,0,0,49,1,0,1,0.0,0.0,0.6,5,1,24,34,70.6,5,30,3,5,0,Match Report,49,1,7,19,23,1,49,0.0,2,40.0,190,128,2,0,4,1,30,2,1,0,1,0,0,0,0,0.0,0,1,0,1,0,1,0,0,24,34,70.6,318,138,15,21,71.4,6,8,75.0,1,2,50.0,1,0.6,0.6,4,2,4,0,5,34,33,1,0,2,0,0,1,0,0,0,0,24,0,0
2023-09-24,Sun,Premier League,Matchweek 6,Home,W 3–1,Liverpool,West Ham,N,LM,14,0,0,0,0,0,0,0,0,14,1,0,0,0.0,0.0,0.0,0,0,7,10,70.0,2,5,1,1,0,Match Report,14,2,3,6,5,2,14,0.0,1,100.0,12,7,1,1,0,0,6,2,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,2,0,7,10,70.0,82,36,6,9,66.7,1,1,100.0,0,0,0.0,0,0.0,0.0,0,0,0,0,2,10,9,1,0,0,0,0,1,0,0,0,0,7,0,0
2023-09-30,Sat,Premier League,Matchweek 7,Away,L 1–2,Liverpool,Tottenham,N,CM,11,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Match Report,2,0,1,1,0,0,2,0.0,0,0.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,1,1,100.0,16,5,0,0,0.0,1,1,100.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2023-10-05,Thu,Europa Lg,Group stage,Home,W 2–0,Liverpool,be Union SG,Y,LM,78,1,0,0,0,3,3,0,0,59,2,0,4,1.0,1.0,0.5,4,0,28,36,77.8,7,35,3,6,2,Match Report,59,1,3,32,24,3,59,33.3,4,66.7,191,87,3,0,4,3,40,7,2,1,0,1,1,0,0,0.0,0,4,0,4,0,2,1,0,28,36,77.8,516,166,11,14,78.6,14,17,82.4,3,3,100.0,0,0.5,0.1,2,8,3,0,7,36,35,0,0,1,0,0,0,0,0,0,0,28,1,0
2023-10-08,Sun,Premier League,Matchweek 8,Away,D 2–2,Liverpool,Brighton,N,LM,45,0,0,0,0,2,1,0,0,30,0,1,2,0.7,0.7,0.0,2,0,15,20,75.0,4,21,2,2,1,Match Report,30,2,7,15,9,3,30,50.0,0,0.0,94,51,1,0,2,0,21,5,0,0,0,0,0,0,0,0.0,0,2,0,2,1,1,2,0,15,20,75.0,180,72,10,12,83.3,5,7,71.4,0,0,0.0,0,0.0,0.0,0,0,1,0,4,20,20,0,0,0,0,0,0,0,0,0,0,15,0,1
2023-10-21,Sat,Premier League,Matchweek 9,Home,W 2–0,Liverpool,Everton,Y,LM,61,0,0,0,0,1,0,0,0,39,1,3,0,0.1,0.1,0.0,4,0,31,32,96.9,5,23,3,3,1,Match Report,39,0,6,21,12,3,39,33.3,0,0.0,114,76,2,1,3,0,30,3,1,1,0,0,1,0,2,0.0,2,0,0,0,3,4,0,0,31,32,96.9,456,144,15,15,100.0,12,13,92.3,1,1,100.0,0,0.0,0.0,1,1,1,0,5,32,31,1,1,0,1,0,0,0,0,0,0,31,0,0
2023-10-26,Thu,Europa Lg,Group stage,Home,W 5–1,Liverpool,fr Toulouse,Y,LM,69,1,0,0,0,4,4,0,0,45,3,2,3,0.6,0.6,0.2,6,0,26,27,96.3,10,31,2,2,2,Match Report,45,0,0,20,25,2,45,100.0,0,0.0,226,131,2,1,5,1,27,4,3,2,0,2,1,0,0,0.0,0,3,0,3,2,5,0,0,26,27,96.3,403,138,15,15,100.0,10,11,90.9,1,1,100.0,0,0.2,0.1,3,5,2,0,10,27,27,0,0,0,1,0,0,0,0,0,0,26,0,0
2023-10-29,Sun,Premier League,Matchweek 10,Home,W 3–0,Liverpool,Nott'ham Forest,Y,LM,58,0,0,0,0,1,1,0,0,26,1,0,0,0.0,0.0,0.0,1,0,20,21,95.2,2,14,0,2,1,Match Report,26,1,3,9,14,1,26,50.0,1,50.0,75,30,1,0,3,1,20,3,1,0,0,0,1,0,0,0.0,0,0,0,0,0,1,0,0,20,21,95.2,254,60,13,14,92.9,5,5,100.0,0,0,0.0,0,0.0,0.0,0,2,0,0,2,21,21,0,0,0,0,0,0,0,0,0,0,20,0,0
2023-11-05,Sun,Premier League,Matchweek 11,Away,D 1–1,Liverpool,Luton Town,Y,RM,82,0,0,0,0,1,1,0,0,49,1,2,2,0.0,0.0,0.3,4,0,32,35,91.4,10,29,4,4,2,Match Report,49,1,6,23,21,3,49,50.0,2,50.0,199,126,4,1,5,0,29,6,1,0,0,1,0,1,3,33.3,2,2,0,2,2,3,0,0,32,35,91.4,482,182,18,20,90.0,14,14,100.0,0,0,0.0,0,0.3,0.1,2,3,3,0,10,35,35,0,0,0,0,0,0,0,0,0,0,32,0,1
