Date,Day,Comp,Round,Venue,Result,Squad,Opponent,Start,Pos,Min,Touches Touches,Touches Def Pen,Touches Def 3rd,Touches Mid 3rd,Touches Att 3rd,Touches Att Pen,Touches Live,Take-Ons Att,Take-Ons Succ,Take-Ons Succ%,Take-Ons Tkld,Take-Ons Tkld%,Carries Carries,Carries TotDist,Carries PrgDist,Carries PrgC,Carries 1/3,Carries CPA,Carries Mis,Carries Dis,Receiving Rec,Receiving PrgR,Report
2023-09-16,Sat,Premier League,Matchweek 5,Away,W 3–1,Liverpool,Wolves,N,RW,1,8,0,2,3,4,2,8,3,1,33.3,2,66.7,4,10,0,0,0,0,0,0,4,0,Match Report
2023-09-21,Thu,Europa Lg,Group stage,Away,W 3–1,Liverpool,at LASK,Y,CM,73,49,1,7,19,23,1,49,5,0,0.0,2,40.0,30,190,128,3,2,0,4,1,30,2,Match Report
2023-09-24,Sun,Premier League,Matchweek 6,Home,W 3–1,Liverpool,West Ham,N,LM,14,14,2,3,6,5,2,14,1,0,0.0,1,100.0,5,12,7,1,1,1,0,0,6,2,Match Report
2023-09-30,Sat,Premier League,Matchweek 7,Away,L 1–2,Liverpool,Tottenham,N,CM,11,2,0,1,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,Match Report
2023-10-05,Thu,Europa Lg,Group stage,Home,W 2–0,Liverpool,be Union SG,Y,LM,78,59,1,3,32,24,3,59,6,2,33.3,4,66.7,35,191,87,3,3,0,4,3,40,7,Match Report
2023-10-08,Sun,Premier League,Matchweek 8,Away,D 2–2,Liverpool,Brighton,N,LM,45,30,2,7,15,9,3,30,2,1,50.0,0,0.0,21,94,51,2,1,0,2,0,21,5,Match Report
2023-10-21,Sat,Premier League,Matchweek 9,Home,W 2–0,Liverpool,Everton,Y,LM,61,39,0,6,21,12,3,39,3,1,33.3,0,0.0,23,114,76,3,2,1,3,0,30,3,Match Report
2023-10-26,Thu,Europa Lg,Group stage,Home,W 5–1,Liverpool,fr Toulouse,Y,LM,69,45,0,0,20,25,2,45,2,2,100.0,0,0.0,31,226,131,2,2,1,5,1,27,4,Match Report
2023-10-29,Sun,Premier League,Matchweek 10,Home,W 3–0,Liverpool,Nott'ham Forest,Y,LM,58,26,1,3,9,14,1,26,2,1,50.0,1,50.0,14,75,30,0,1,0,3,1,20,3,Match Report
2023-11-05,Sun,Premier League,Matchweek 11,Away,D 1–1,Liverpool,Luton Town,Y,RM,82,49,1,6,23,21,3,49,4,2,50.0,2,50.0,29,199,126,4,4,1,5,0,29,6,Match Report
2023-11-25,Sat,Premier League,Matchweek 13,Away,D 1–1,Liverpool,Manchester City,N,LM,37,15,3,5,6,4,0,15,1,0,0.0,1,100.0,7,50,38,2,0,0,0,0,5,1,Match Report
